,support,itemsets,check_support
0,0.36093920640698945,frozenset({'Church'}),0.36093920640698945
1,0.33427375318529307,frozenset({'Heavy Industry'}),0.33427375318529307
2,0.3313614852566436,frozenset({'Home Appliances'}),0.3313614852566436
3,0.3226246814706953,frozenset({'Building Material'}),0.3226246814706953
4,0.3080633418274481,frozenset({'Transit Station'}),0.3080633418274481
5,0.230251183108846,frozenset({'Hair Salon'}),0.230251183108846
6,0.22187841281397888,frozenset({'Community Center'}),0.22187841281397888
7,0.21559883509282854,frozenset({'Accountant Office'}),0.21559883509282854
8,0.20695303967965054,frozenset({'Driving School'}),0.20695303967965054
9,0.1934838005096469,frozenset({'Laundry '}),0.1934838005096469
10,0.18984346559883508,frozenset({'Grocery Store'}),0.18984346559883508
11,0.18319985438660358,frozenset({'Elderly Care Home'}),0.18319985438660358
12,0.17482708409173645,frozenset({'Real Estate'}),0.17482708409173645
13,0.17236985802693847,"frozenset({'Heavy Industry', 'Building Material'})",0.17236985802693847
14,0.17145977429923553,"frozenset({'Home Appliances', 'Building Material'})",0.17145977429923553
15,0.16226792864943576,"frozenset({'Home Appliances', 'Heavy Industry'})",0.16226792864943576
16,0.15544230069166362,"frozenset({'Transit Station', 'Heavy Industry'})",0.15544230069166362
17,0.1543502002184201,"frozenset({'Transit Station', 'Building Material'})",0.1543502002184201
18,0.1510738987986895,frozenset({'Park'}),0.1510738987986895
19,0.1471605387695668,"frozenset({'Transit Station', 'Home Appliances'})",0.1471605387695668
20,0.1452493629413906,"frozenset({'Church', 'Home Appliances'})",0.1452493629413906
21,0.14397524572260648,frozenset({'Hospital'}),0.14397524572260648
22,0.14388423734983619,"frozenset({'Hair Salon', 'Building Material'})",0.14388423734983619
23,0.1436112122315253,"frozenset({'Church', 'Building Material'})",0.1436112122315253
24,0.14324717874044413,frozenset({'Bank'}),0.14324717874044413
25,0.1420640698944303,"frozenset({'Hair Salon', 'Transit Station'})",0.1420640698944303
26,0.13987986894794321,"frozenset({'Hair Salon', 'Heavy Industry'})",0.13987986894794321
